,size,hbd,hba,charge,aromatic,aliphatic
ALA,1.0,0.0,0.0,0.0,0.0,1.0
ARG,3.0,3.0,0.0,1.0,0.0,0.0
ASN,2.0,1.0,1.0,0.0,0.0,0.0
ASP,2.0,0.0,2.0,-1.0,0.0,0.0
CYS,1.0,1.0,0.0,0.0,0.0,1.0
GLN,2.0,1.0,1.0,0.0,0.0,0.0
GLU,2.0,0.0,2.0,-1.0,0.0,0.0
GLY,1.0,0.0,0.0,0.0,0.0,0.0
HIS,2.0,1.0,1.0,0.0,1.0,0.0
ILE,2.0,0.0,0.0,0.0,0.0,1.0
LEU,2.0,0.0,0.0,0.0,0.0,1.0
LYS,2.0,1.0,0.0,1.0,0.0,0.0
MET,2.0,0.0,0.0,0.0,0.0,1.0
PHE,3.0,0.0,0.0,0.0,1.0,0.0
PRO,1.0,0.0,0.0,0.0,0.0,1.0
SER,1.0,1.0,1.0,0.0,0.0,0.0
THR,1.0,1.0,1.0,1.0,0.0,1.0
TRP,3.0,1.0,0.0,0.0,1.0,0.0
TYR,3.0,1.0,1.0,0.0,1.0,0.0
VAL,1.0,0.0,0.0,0.0,0.0,1.0
