,molecule1,molecule2,score,score_physchem,score_spatial,coverage,coverage_physchem,coverage_spatial
0,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AAK1_5l4q_altA_chainA,0.9786352084104741,,,0.9941176470588236,,
1,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AAK1_5te0_chainA,0.9774763057809025,,,0.9941176470588236,,
2,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2f4j_chainA,0.8882013907992261,,,0.9901960784313726,,
3,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2g1t_chainA,0.8848218914809621,,,0.9901960784313726,,
4,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2g2i_chainA,0.8883115338679247,,,0.9568627450980393,,
5,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2gqg_altB_chainA,0.8878062509868139,,,0.9901960784313726,,
6,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2hz4_chainB,0.8852140095993094,,,0.8568627450980392,,
7,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2v7a_chainB,0.8895269358711655,,,0.9901960784313726,,
8,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_4twp_chainB,0.8892450716802403,,,0.9901960784313726,,
9,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/AAK1_5te0_chainA,0.9892360037278211,,,0.9941176470588236,,
10,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_2f4j_chainA,0.8835697191405407,,,0.9901960784313726,,
11,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_2g1t_chainA,0.8803712944892742,,,0.9901960784313726,,
12,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_2g2i_chainA,0.8851464524230686,,,0.9568627450980393,,
13,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_2gqg_altB_chainA,0.8826102501714549,,,0.9901960784313726,,
14,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_2hz4_chainB,0.8804679900190951,,,0.8568627450980392,,
15,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_2v7a_chainB,0.8851567689984364,,,0.9901960784313726,,
16,HUMAN/AAK1_5l4q_altA_chainA,HUMAN/ABL1_4twp_chainB,0.8844570962532056,,,0.9901960784313726,,
17,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_2f4j_chainA,0.8843524465835815,,,0.9901960784313726,,
18,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_2g1t_chainA,0.8797179538634483,,,0.9901960784313726,,
19,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_2g2i_chainA,0.8856479204521197,,,0.9568627450980393,,
20,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_2gqg_altB_chainA,0.8830838828927527,,,0.9901960784313726,,
21,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_2hz4_chainB,0.8814358207058287,,,0.8568627450980392,,
22,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_2v7a_chainB,0.8857613583945698,,,0.9901960784313726,,
23,HUMAN/AAK1_5te0_chainA,HUMAN/ABL1_4twp_chainB,0.8849479923254098,,,0.9901960784313726,,
24,HUMAN/ABL1_2f4j_chainA,HUMAN/ABL1_2g1t_chainA,0.9788324502231974,,,0.9931372549019608,,
25,HUMAN/ABL1_2f4j_chainA,HUMAN/ABL1_2g2i_chainA,0.9881621267965343,,,0.9588235294117647,,
26,HUMAN/ABL1_2f4j_chainA,HUMAN/ABL1_2gqg_altB_chainA,0.9900109042812109,,,0.9931372549019608,,
27,HUMAN/ABL1_2f4j_chainA,HUMAN/ABL1_2hz4_chainB,0.9894718956113134,,,0.8588235294117647,,
28,HUMAN/ABL1_2f4j_chainA,HUMAN/ABL1_2v7a_chainB,0.9845638549119162,,,0.9931372549019608,,
29,HUMAN/ABL1_2f4j_chainA,HUMAN/ABL1_4twp_chainB,0.9889587713914667,,,0.9931372549019608,,
